"elapsed_seconds","working_set_bytes","private_bytes","dedicated_gpu_bytes"
"920.1","218755072","606072832","433778688"
"922.2","218755072","606072832","433778688"
"924.2","218755072","606072832","433778688"
"926.2","218755072","606072832","433778688"
"928.3","218755072","606072832","433778688"
"930.3","218755072","606072832","433778688"
"932.3","218755072","606072832","433778688"
"934.3","218755072","606072832","433778688"
"936.4","218755072","606072832","433778688"
"938.4","218755072","606072832","433778688"
"940.4","218755072","606072832","433778688"
"942.4","218755072","606072832","433778688"
"944.5","218755072","606072832","433778688"
"946.5","218755072","606072832","433778688"
"948.5","218755072","606072832","433778688"
"950.6","218755072","606072832","433778688"
"952.6","218755072","606072832","433778688"
"954.6","218755072","606072832","433778688"
"956.6","218755072","606072832","433778688"
"958.7","218755072","606072832","433778688"
"960.7","218755072","606072832","433778688"
"962.7","218755072","606072832","433778688"
"964.8","218755072","606072832","433778688"
"966.8","218755072","606072832","433778688"
"968.8","218755072","606072832","433778688"
"970.8","218755072","606072832","433778688"
"972.9","218755072","606072832","433778688"
"974.9","218755072","606072832","433778688"
"976.9","218755072","606072832","433778688"
"979","218755072","606072832","433778688"
"981","218755072","606072832","433778688"
"983","218755072","606072832","433778688"
"985.1","218755072","606072832","433778688"
"987.1","218755072","606072832","433778688"
"989.1","218755072","606072832","433778688"
"991.1","218755072","606072832","433778688"
"993.2","218755072","606072832","433778688"
"995.2","218755072","606072832","433778688"
"997.2","218755072","606072832","433778688"
"999.2","218755072","606072832","433778688"
"1001.3","218755072","606072832","433778688"
"1003.3","218755072","606072832","433778688"
"1005.3","218755072","606072832","433778688"
"1007.4","218755072","606072832","433778688"
"1009.4","218755072","606072832","433778688"
"1011.4","218755072","606072832","433778688"
"1013.5","218755072","606072832","433778688"
"1015.5","218755072","606072832","433778688"
"1017.5","218755072","606072832","433778688"
"1019.5","218755072","606072832","433778688"
"1021.6","218755072","606072832","433778688"
"1023.6","218755072","606072832","433778688"
"1025.6","218755072","606072832","433778688"
"1027.6","218755072","606072832","433778688"
"1029.7","218755072","606072832","433778688"
"1031.7","218755072","606072832","433778688"
"1033.7","218755072","606072832","433778688"
"1035.7","218755072","606072832","433778688"
"1037.8","218755072","606072832","433778688"
"1039.8","218755072","606072832","433778688"
"1041.8","218755072","606072832","433778688"
"1043.9","218755072","606072832","433778688"
"1045.9","218755072","606072832","433778688"
"1047.9","218755072","606072832","433778688"
"1049.9","218755072","606072832","433778688"
"1051.9","218755072","606072832","433778688"
"1054","218755072","606072832","433778688"
"1056","218755072","606072832","433778688"
"1058","218755072","606072832","433778688"
"1060","218755072","606072832","433778688"
"1062.1","218755072","606072832","433778688"
"1064.1","218755072","606072832","433778688"
"1066.1","218755072","606072832","433778688"
"1068.2","218755072","606072832","433778688"
"1070.2","218755072","606072832","433778688"
"1072.2","218755072","606072832","433778688"
"1074.2","218755072","606072832","433778688"
"1076.2","218755072","606072832","433778688"
"1078.3","218755072","606072832","433778688"
"1080.3","218755072","606072832","433778688"
"1082.3","218755072","606072832","433778688"
"1084.4","218755072","606072832","433778688"
"1086.4","218755072","606072832","433778688"
"1088.4","218755072","606072832","433778688"
"1090.4","218755072","606072832","433778688"
"1092.5","218755072","606072832","433778688"
"1094.5","218755072","606072832","433778688"
"1096.5","218755072","606072832","433778688"
"1098.6","218755072","606072832","433778688"
"1100.6","218755072","606072832","433778688"
"1102.6","218755072","606072832","433778688"
"1104.6","218755072","606072832","433778688"
"1106.7","218755072","606072832","433778688"
"1108.7","218755072","606072832","433778688"
"1110.7","218755072","606072832","433778688"
"1112.8","218755072","606072832","433778688"
"1114.8","218755072","606072832","433778688"
"1116.8","218755072","606072832","433778688"
"1118.8","218755072","606072832","433778688"
"1120.9","218755072","606072832","433778688"
"1122.9","218755072","606072832","433778688"
"1124.9","218755072","606072832","433778688"
"1127","218755072","606072832","433778688"
"1129","218755072","606072832","433778688"
"1131","218755072","606072832","433778688"
"1133","218755072","606072832","433778688"
"1135.1","218755072","606072832","433778688"
"1137.1","218755072","606072832","433778688"
"1139.1","218734592","606035968","433778688"
"1141.1","218734592","606035968","433778688"
"1143.2","218734592","606035968","433778688"
"1145.2","218734592","606035968","433778688"
"1147.2","218734592","606035968","433778688"
"1149.3","218734592","606035968","433778688"
"1151.3","218755072","606072832","433778688"
"1153.3","218755072","606072832","433778688"
"1155.3","218755072","606072832","433778688"
"1157.3","218755072","606072832","433778688"
"1159.4","218755072","606072832","433778688"
"1161.4","218755072","606072832","433778688"
"1163.4","218755072","606072832","433778688"
"1165.4","218755072","606072832","433778688"
"1167.5","218755072","606072832","433778688"
"1169.5","218755072","606072832","433778688"
"1171.5","218755072","606072832","433778688"
"1173.6","218755072","606072832","433778688"
"1175.6","218755072","606072832","433778688"
"1177.6","218755072","606072832","433778688"
"1179.6","218755072","606072832","433778688"
"1181.7","218755072","606072832","433778688"
"1183.7","218755072","606072832","433778688"
"1185.7","218755072","606072832","433778688"
"1187.7","218755072","606072832","433778688"
"1189.8","218755072","606072832","433778688"
"1191.8","218755072","606072832","433778688"
"1193.8","218755072","606072832","433778688"
"1195.8","218755072","606072832","433778688"
"1197.9","218755072","606072832","433778688"
"1199.9","218755072","606072832","433778688"
"1201.9","218755072","606072832","433778688"
"1204","218755072","606072832","433778688"
"1206","218755072","606072832","433778688"
"1208","218755072","606072832","433778688"
"1210","218755072","606072832","433778688"
"1212.1","218755072","606072832","433778688"
"1214.1","218755072","606072832","433778688"
"1216.1","218755072","606072832","433778688"
"1218.1","218755072","606072832","433778688"
"1220.2","218755072","606072832","433778688"
"1222.2","218755072","606072832","433778688"
"1224.2","218755072","606072832","433778688"
"1226.2","218755072","606072832","433778688"
"1228.3","218755072","606072832","433778688"
"1230.3","218755072","606072832","433778688"
"1232.3","218755072","606072832","433778688"
"1234.4","218755072","606072832","433778688"
"1236.4","218755072","606072832","433778688"
"1238.4","218755072","606072832","433778688"
"1240.4","218755072","606072832","433778688"
"1242.5","218755072","606072832","433778688"
"1244.5","218755072","606072832","433778688"
"1246.5","218755072","606072832","433778688"
"1248.6","218755072","606072832","433778688"
"1250.6","218755072","606072832","433778688"
"1252.6","218755072","606072832","433778688"
"1254.6","218755072","606072832","433778688"
"1256.7","218755072","606072832","433778688"
"1258.7","218755072","606072832","433778688"
"1260.7","218755072","606072832","433778688"
"1262.7","218755072","606072832","433778688"
"1264.8","218755072","606072832","433778688"
"1266.8","218755072","606072832","433778688"
"1268.8","218755072","606072832","433778688"
"1270.8","218755072","606072832","433778688"
"1272.9","218755072","606072832","433778688"
"1274.9","218755072","606072832","433778688"
"1276.9","218755072","606072832","433778688"
"1278.9","218755072","606072832","433778688"
"1281","218755072","606072832","433778688"
"1283","218755072","606072832","433778688"
"1285","218755072","606072832","433778688"
"1287.1","218755072","606072832","433778688"
"1289.1","218755072","606072832","433778688"
"1291.1","218755072","606072832","433778688"
"1293.1","218755072","606072832","433778688"
"1295.2","218755072","606072832","433778688"
"1297.2","218755072","606072832","433778688"
"1299.2","218755072","606072832","433778688"
"1301.2","218755072","606072832","433778688"
"1303.3","218755072","606072832","433778688"
"1305.3","218755072","606072832","433778688"
"1307.3","218755072","606072832","433778688"
"1309.4","218755072","606072832","433778688"
"1311.4","218755072","606072832","433778688"
"1313.4","218759168","606072832","433778688"
"1315.4","218759168","606072832","433778688"
"1317.5","218759168","606072832","433778688"
"1319.5","218759168","606072832","433778688"
"1321.5","218759168","606072832","433778688"
"1323.5","218759168","606072832","433778688"
"1325.6","218759168","606072832","433778688"
"1327.6","218759168","606072832","433778688"
"1329.6","218759168","606072832","433778688"
"1331.6","218759168","606072832","433778688"
"1333.7","218759168","606072832","433778688"
"1335.7","218759168","606072832","433778688"
"1337.7","218759168","606072832","433778688"
"1339.7","218759168","606072832","433778688"
"1341.8","218759168","606072832","433778688"
"1343.8","218759168","606072832","433778688"
"1345.8","218759168","606072832","433778688"
"1347.8","218759168","606072832","433778688"
"1349.9","218759168","606072832","433778688"
"1351.9","218759168","606072832","433778688"
"1353.9","218759168","606072832","433778688"
"1355.9","218759168","606072832","433778688"
"1358","218759168","606072832","433778688"
